SurveyYear,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,OtherPeopleOnYourTeam,Education,EmploymentSector,Gender,Salary_Cat
2020,32237.0,United Kingdom,Microsoft SQL Server,1,Full time employee,Analyst,False,1,1,Not Asked,Private business,Male,Tier 1
2020,66400.0,United Kingdom,Microsoft SQL Server,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",True,11,None,Not Asked,Federal government,Male,Tier 2
2020,85000.0,United States,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,True,6,None,Not Asked,Private business,Female,Tier 2
2020,56500.0,Romania,Microsoft SQL Server,6,Full time employee,Data Scientist,False,2,None,Not Asked,Private business,Male,Tier 2
2020,81619.0,Denmark,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",False,3,1,Not Asked,Private business,Male,Tier 2
2020,66000.0,Netherlands,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,20,None,Not Asked,Private business,Male,Tier 2
2020,85000.0,United States,Microsoft SQL Server,10,Full time employee,DBA,False,10,None,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,81000.0,United States,Microsoft SQL Server,4,Full time employee,Analyst,True,3,1,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,148000.0,United States,Other,5,Full time employee,Data Scientist,False,7,1,Not Asked,Private business,Female,Tier 3
2020,148000.0,United States,Other,5,Full time employee,Data Scientist,False,7,1,Not Asked,Private business,Female,Tier 3
2020,50000.0,United States,Microsoft SQL Server,1,Full time employee,Engineer,False,1,4,Not Asked,Private business,Male,Tier 2
2020,87000.0,Israel,Microsoft SQL Server,13,Full time employee,DBA,False,9,More than 5,Not Asked,Federal government,Male,Tier 2
2020,55000.0,United States,Microsoft SQL Server,1,Full time employee,DBA,False,1,2,Not Asked,Private business,Male,Tier 2
2020,44000.0,United Kingdom,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,2,None,Not Asked,Private business,Male,Tier 1
2020,115000.0,United States,Microsoft SQL Server,1,Full time employee,Data Scientist,False,1,4,Not Asked,Private business,Male,Tier 3
2020,115000.0,United States,Amazon RDS (any flavor),3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,3,5,Not Asked,Private business,Male,Tier 3
2020,80000.0,Canada,MySQL/MariaDB,5,Full time employee,Analyst,False,3,4,Not Asked,Private business,Female,Tier 2
2020,130000.0,United States,Other,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,10,More than 5,Not Asked,Private business,Male,Tier 3
2020,100000.0,Canada,Microsoft SQL Server,7,Full time employee,Analyst,False,7,1,Not Asked,Private business,Male,Tier 3
2020,98000.0,United States,Microsoft SQL Server,5,Full time employee,Analyst,False,5,1,Not Asked,Private business,Male,Tier 2
2020,100000.0,Canada,Microsoft SQL Server,7,Full time employee,Analyst,False,7,1,Not Asked,Private business,Male,Tier 3
2020,62000.0,United States,PostgreSQL,2,Full time employee,Analyst,False,2,3,Not Asked,Private business,Male,Tier 2
2020,68000.0,United States,Oracle,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,2,1,Not Asked,Private business,Male,Tier 2
2020,117000.0,United States,Microsoft SQL Server,2,Full time employee,Analyst,False,3,None,Not Asked,Private business,Male,Tier 3
2020,82500.0,United States,Microsoft SQL Server,6,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",False,6,1,Not Asked,Private business,Female,Tier 2
2020,130000.0,United States,Microsoft SQL Server,20,Full time employee,DBA,False,20,2,Not Asked,"Education (K-12, college, university)",Male,Tier 3
2020,50000.0,United States,Microsoft SQL Server,1,Full time employee,Other,False,1,More than 5,Not Asked,Private business,Female,Tier 2
2020,66660.0,Canada,Other,2,Full time employee,Analyst,False,3,1,Not Asked,Private business,Male,Tier 2
2020,105000.0,United States,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,True,4,None,Not Asked,Private business,Female,Tier 3
2020,30000.0,United States,MySQL/MariaDB,1,Full time employee,Analyst,False,1,3,Not Asked,Private business,Male,Tier 1
2020,97500.0,United States,DB2,15,Full time employee,DBA,False,8,None,Not Asked,Private business,Male,Tier 2
2020,230000.0,United States,Microsoft SQL Server,6,Contractual work,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,3,None,Not Asked,Private business,Male,Tier 5
2020,54000.0,United States,Other,3,Full time employee,Analyst,True,1,None,Not Asked,Private business,Non-Legitimate answer,Tier 2
2020,165000.0,United States,Microsoft SQL Server,20,Full time employee,Architect,True,5,None,Not Asked,Private business,Female,Tier 4
2020,145000.0,United States,PostgreSQL,8,Full time employee,Manager,True,1,2,Not Asked,Private business,Male,Tier 3
2020,115000.0,United States,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",True,8,2,Not Asked,Non-profit,Male,Tier 3
2020,100000.0,United States,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,More than 5,Not Asked,Non-profit,Male,Tier 3
2020,102990.0,United States,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,False,8,1,Not Asked,Local government,Male,Tier 3
2020,135000.0,United States,Microsoft SQL Server,16,Full time employee,DBA,False,22,3,Not Asked,Private business,Male,Tier 3
2020,47000.0,United States,Microsoft SQL Server,1,Full time employee,Developer: T-SQL,False,1,More than 5,Not Asked,Non-profit,Male,Tier 1
2020,155000.0,United States,Microsoft SQL Server,8,Full time employee,Manager,True,4,None,Not Asked,Private business,Male,Tier 4
2020,95000.0,United States,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",False,3,3,Not Asked,Private business,Male,Tier 2
2020,49000.0,Australia,Other,1,Full time employee,Analyst,False,1,1,Not Asked,Private business,Male,Tier 1
2020,101000.0,United States,Microsoft SQL Server,8,Full time employee,Manager,True,4,None,Not Asked,"Education (K-12, college, university)",Male,Tier 3
2020,83000.0,United States,Microsoft SQL Server,7,Full time employee,Data Scientist,False,3,None,Not Asked,Non-profit,Male,Tier 2
2020,140000.0,United States,Microsoft SQL Server,13,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,13,4,Not Asked,Private business,Male,Tier 3
2020,125000.0,United States,Microsoft SQL Server,10,Full time employee,Manager,True,6,None,Not Asked,Private business,Male,Tier 3
2020,57000.0,United States,Amazon RDS (any flavor),10,Full time employee,Analyst,False,0,4,Not Asked,Private business,Male,Tier 2
2020,68000.0,United States,Microsoft SQL Server,2,Full time employee,Analyst,False,2,2,Not Asked,Private business,Male,Tier 2
2020,105000.0,United States,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,False,4,3,Not Asked,Private business,Male,Tier 3
2020,80000.0,United States,Microsoft SQL Server,13,Full time employee,"Developer: App code (C#, JS, etc)",False,15,3,Not Asked,Private business,Male,Tier 2
2020,95000.0,United States,Microsoft SQL Server,2,Full time employee,Analyst,False,2,4,Not Asked,Private business,Male,Tier 2
2020,100000.0,United States,Microsoft SQL Server,6,Full time employee,Analyst,False,6,5,Not Asked,Private business,Male,Tier 3
2020,150000.0,United States,Amazon RDS (any flavor),3,Full time employee,Manager,True,1,None,Not Asked,Private business,Male,Tier 4
2020,93500.0,United States,Oracle,10,Full time employee,Analyst,False,10,5,Not Asked,Private business,Female,Tier 2
2020,91000.0,United States,Other,10,Full time employee,Data Scientist,False,3,None,Not Asked,Private business,Male,Tier 2
2020,77500.0,United States,Microsoft SQL Server,1,Full time employee,Analyst,False,1,1,Not Asked,Private business,Female,Tier 2
2020,50000.0,United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,False,1,More than 5,Not Asked,Private business,Male,Tier 2
2020,125000.0,United States,Other,4,Full time employee,Analyst,True,11,More than 5,Not Asked,Private business,Male,Tier 3
2020,92000.0,United States,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,False,3,2,Not Asked,Private business,Male,Tier 2
2020,55000.0,United States,Microsoft Access,1,Full time employee,Analyst,False,2,1,Not Asked,Private business,Male,Tier 2
2020,58000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,True,3,None,Not Asked,Private business,Male,Tier 2
2020,67000.0,United States,Oracle,2,Full time employee,Other,False,2,None,Not Asked,Non-profit,Male,Tier 2
2020,105000.0,United States,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",True,6,4,Not Asked,Private business,Male,Tier 3
2020,55000.0,United States,Microsoft SQL Server,1,Full time employee,Analyst,False,2,5,Not Asked,Private business,Male,Tier 2
2020,60600.0,United States,Microsoft SQL Server,1,Full time employee,Data Scientist,False,1,None,Not Asked,Private business,Female,Tier 2
2020,144000.0,United States,Microsoft SQL Server,4,Full time employee,Analyst,False,11,4,Not Asked,Private business,Male,Tier 3
2020,91000.0,United States,Oracle,11,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",False,7,5,Not Asked,Private business,Male,Tier 2
2020,70000.0,United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,False,1,1,Not Asked,Private business,Male,Tier 2
2020,109000.0,United States,Other,2,Full time employee,Analyst,False,2,None,Not Asked,Private business,Male,Tier 3
2020,60000.0,United Kingdom,Microsoft SQL Server,6,Full time employee,Analyst,False,6,1,Not Asked,Private business,Male,Tier 2
2020,64000.0,United States,Oracle,2,Full time employee,Analyst,False,2,3,Not Asked,Private business,Male,Tier 2
2020,135000.0,United States,MySQL/MariaDB,2,Full time employee,Other,False,1,None,Not Asked,Private business,Male,Tier 3
2020,97000.0,United States,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,6,1,Not Asked,Non-profit,Male,Tier 2
2020,62000.0,United States,Microsoft SQL Server,9,Full time employee,Developer: T-SQL,False,9,4,Not Asked,Private business,Male,Tier 2
2020,54000.0,United States,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,False,4,4,Not Asked,Private business,Male,Tier 2
2020,75000.0,United States,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",True,8,1,Not Asked,Non-profit,Male,Tier 2
2020,55000.0,United States,Microsoft SQL Server,1,Full time employee,Analyst,False,1,5,Not Asked,Private business,Male,Tier 2
2020,56000.0,Australia,PostgreSQL,1,Full time employee,"Developer: App code (C#, JS, etc)",False,3,None,Not Asked,"Education (K-12, college, university)",Prefer not to say,Tier 2
2020,111000.0,United States,Oracle,5,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",False,4,None,Not Asked,State/province government,Male,Tier 3
2020,120000.0,United States,Microsoft SQL Server,13,Full time employee,DBA,False,13,5,Not Asked,Private business,Male,Tier 3
2020,53580.0,Canada,MySQL/MariaDB,5,Full time employee,"Developer: App code (C#, JS, etc)",False,6,3,Not Asked,Private business,Male,Tier 2
2020,66000.0,United States,Oracle,8,Full time employee,Analyst,False,3,1,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,57000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,4,4,Not Asked,Private business,Male,Tier 2
2020,63000.0,United States,Microsoft SQL Server,2,Full time employee,Analyst,False,2,1,Not Asked,Private business,Female,Tier 2
2020,50000.0,United States,Microsoft SQL Server,1,Full time employee,Analyst,False,1,None,Not Asked,Private business,Male,Tier 2
2020,33000.0,United Kingdom,Oracle,1,Full time employee,Analyst,False,1,2,Not Asked,Private business,Male,Tier 1
2020,72000.0,United States,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",True,3,4,Not Asked,Private business,Male,Tier 2
2020,80000.0,United States,Microsoft SQL Server,6,Full time employee,DBA,False,6,None,Not Asked,Private business,Male,Tier 2
2020,73000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,4,2,Not Asked,Private business,Male,Tier 2
2020,60000.0,Canada,Microsoft SQL Server,10,Full time employee,Analyst,False,0,None,Not Asked,Private business,Male,Tier 2
2020,58000.0,United States,Azure SQL DB,1,Full time employee,DBA,False,1,4,Not Asked,Private business,Male,Tier 2
2020,110400.0,United States,Microsoft SQL Server,5,Full time employee,Manager,True,7,3,Not Asked,Private business,Male,Tier 3
2020,62000.0,United States,Microsoft SQL Server,1,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",True,1,More than 5,Not Asked,Private business,Male,Tier 2
2020,31000.0,United Kingdom,Microsoft SQL Server,3,Full time employee,Analyst,False,3,3,Not Asked,Private business,Male,Tier 1
2020,100000.0,United States,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,False,7,4,Not Asked,Private business,Male,Tier 3
2020,87000.0,United States,Microsoft SQL Server,10,Full time employee,Analyst,False,13,2,Not Asked,Private business,Male,Tier 2
2020,68000.0,United States,MySQL/MariaDB,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,4,2,Not Asked,Private business,Male,Tier 2
2020,145000.0,United States,Amazon RDS (any flavor),1,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,5,More than 5,Not Asked,Private business,Male,Tier 3
2020,140000.0,United States,Microsoft SQL Server,20,Full time employee,DBA,True,20,None,Not Asked,Private business,Male,Tier 3
2020,71500.0,United States,Microsoft SQL Server,2,Full time employee,Manager,False,5,1,Not Asked,Private business,Male,Tier 2
2020,80000.0,United States,Oracle,10,Full time employee,Analyst,False,10,More than 5,Not Asked,Private business,Male,Tier 2
2020,71500.0,United States,Microsoft SQL Server,2,Full time employee,Manager,False,5,1,Not Asked,Private business,Male,Tier 2
2020,82000.0,United States,Oracle,5,Full time employee,Analyst,False,15,More than 5,Not Asked,Private business,Male,Tier 2
2020,75000.0,United States,Other,1,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,3,Not Asked,Private business,Male,Tier 2
2020,140000.0,United States,Oracle,6,Full time employee,DBA,False,6,1,Not Asked,Private business,Female,Tier 3
2020,54000.0,New Zealand,Microsoft SQL Server,1,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",False,1,1,Not Asked,Private business,Prefer not to say,Tier 2
2020,105000.0,United States,Microsoft SQL Server,7,Contractual work,Manager,False,10,4,Not Asked,Private business,Male,Tier 3
2020,90000.0,United States,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",False,7,More than 5,Not Asked,Private business,Male,Tier 2
2020,60000.0,United Kingdom,Microsoft SQL Server,7,Full time employee,DBA,False,7,3,Not Asked,Private business,Male,Tier 2
2020,103000.0,United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,4,More than 5,Not Asked,Private business,Male,Tier 3
2020,65000.0,United States,Microsoft SQL Server,5,Full time employee,DBA,False,5,None,Not Asked,Private business,Male,Tier 2
2020,140000.0,United States,Microsoft SQL Server,17,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",False,11,More than 5,Not Asked,Private business,Male,Tier 3
2020,98000.0,United States,Microsoft SQL Server,15,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,5,None,Not Asked,Private business,Male,Tier 2
2020,165000.0,United States,Microsoft SQL Server,26,Full time employee,DBA,False,12,1,Not Asked,Private business,Male,Tier 4
2020,120000.0,United States,Microsoft SQL Server,3,Contractual work,Engineer,False,2,1,Not Asked,Federal government,Male,Tier 3
2020,97500.0,United States,Oracle,15,Full time employee,Analyst,False,10,2,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,65000.0,United Kingdom,Microsoft SQL Server,1,Full time employee,Data Scientist,True,3,1,Not Asked,Private business,Male,Tier 2
2020,40000.0,United States,PostgreSQL,1,Full time employee,"Developer: App code (C#, JS, etc)",False,1,None,Not Asked,Non-profit,Male,Tier 1
2020,142000.0,United States,PostgreSQL,8,Full time employee,Manager,True,8,2,Not Asked,Private business,Male,Tier 3
2020,75000.0,United States,Oracle,3,Full time employee,Analyst,False,3,1,Not Asked,Private business,Male,Tier 2
2020,130000.0,United States,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,False,6,More than 5,Not Asked,Non-profit,Male,Tier 3
2020,60000.0,United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,False,2,5,Not Asked,Private business,Male,Tier 2
2020,100000.0,United States,Microsoft SQL Server,15,Full time employee,Other,True,21,2,Not Asked,Private business,Male,Tier 3
2020,81000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,3,1,Not Asked,Private business,Female,Tier 2
2020,81000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,3,1,Not Asked,Private business,Female,Tier 2
2020,88500.0,United States,Oracle,3,Full time employee,Engineer,False,3,4,Not Asked,Private business,Male,Tier 2
2020,42000.0,Netherlands,Microsoft SQL Server,1,Full time employee,Engineer,False,1,None,Not Asked,Private business,Male,Tier 1
2020,95000.0,United States,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,False,3,1,Not Asked,Non-profit,Female,Tier 2
2020,125800.0,United States,Oracle,7,Full time employee,Developer: T-SQL,False,9,3,Not Asked,"Education (K-12, college, university)",Male,Tier 3
2020,55000.0,United States,Microsoft SQL Server,3,Contractual work,Analyst,False,1,More than 5,Not Asked,Private business,Male,Tier 2
2020,105000.0,United States,Microsoft SQL Server,4,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",False,1,1,Not Asked,Private business,Non-Legitimate answer,Tier 3
2020,85000.0,United States,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,False,3,5,Not Asked,Private business,Male,Tier 2
2020,116000.0,United States,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,False,4,More than 5,Not Asked,Private business,Female,Tier 3
2020,80000.0,United States,Microsoft SQL Server,5,Full time employee,DBA,False,13,1,Not Asked,Private business,Female,Tier 2
2020,145500.0,United States,Microsoft SQL Server,19,Full time employee,Architect,True,10,None,Not Asked,Private business,Female,Tier 3
2020,100000.0,United States,PostgreSQL,15,Full time employee,Engineer,False,2,2,Not Asked,Federal government,Male,Tier 3
2020,106500.0,United States,Oracle,7,Full time employee,DBA,False,11,More than 5,Not Asked,Federal government,Male,Tier 3
2020,60000.0,United States,Microsoft SQL Server,1,Full time employee,DBA,False,1,3,Not Asked,Private business,Male,Tier 2
2020,60000.0,United States,Microsoft SQL Server,1,Full time employee,DBA,False,1,3,Not Asked,Private business,Male,Tier 2
2020,90000.0,Austria,PostgreSQL,5,Full time employee,Manager,True,2,None,Not Asked,Private business,Male,Tier 2
2020,74000.0,United States,Microsoft SQL Server,4,Full time employee,Analyst,False,3,1,Not Asked,Private business,Male,Tier 2
2020,80000.0,United States,Microsoft SQL Server,2,Full time employee,DBA,False,2,More than 5,Not Asked,Private business,Male,Tier 2
2020,76000.0,United Kingdom,Microsoft SQL Server,7,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,None,Not Asked,Non-profit,Male,Tier 2
2020,92000.0,Canada,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,False,12,1,Not Asked,Private business,Female,Tier 2
2020,79063.0,United States,Oracle,1,Full time employee,Other,False,1,1,Not Asked,Federal government,Male,Tier 2
2020,75000.0,Canada,Microsoft SQL Server,4,Full time employee,Analyst,False,1,2,Not Asked,Private business,Male,Tier 2
2020,85000.0,United States,Microsoft SQL Server,5,Contractual work,Analyst,False,5,None,Not Asked,Private business,Male,Tier 2
2020,95000.0,United States,Oracle,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,5,More than 5,Not Asked,Private business,Male,Tier 2
2020,145000.0,United States,Microsoft SQL Server,20,Full time employee,Architect,False,18,1,Not Asked,Private business,Male,Tier 3
2020,110000.0,United States,Other,1,Full time employee,Analyst,False,2,More than 5,Not Asked,Private business,Male,Tier 3
2020,30000.0,United States,MySQL/MariaDB,1,Part time,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,1,2,Not Asked,Private business,Male,Tier 1
2020,65000.0,United States,Microsoft SQL Server,3,Full time employee,Analyst,False,8,1,Not Asked,Non-profit,Male,Tier 2
2020,80000.0,United States,Microsoft SQL Server,8,Full time employee,DBA,False,3,2,Not Asked,Private business,Male,Tier 2
2020,103000.0,United States,Microsoft SQL Server,10,Full time employee,Manager,True,6,4,Not Asked,Private business,Male,Tier 3
2020,78000.0,United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,4,None,Not Asked,Private business,Female,Tier 2
2020,67017.0,United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,2,None,Not Asked,Non-profit,Female,Tier 2
2020,78000.0,United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,4,None,Not Asked,Private business,Female,Tier 2
2020,81000.0,United States,Microsoft SQL Server,15,Full time employee,Analyst,False,15,More than 5,Not Asked,Private business,Male,Tier 2
2020,71000.0,United States,Microsoft SQL Server,1,Full time employee,Developer: T-SQL,False,1,None,Not Asked,"Education (K-12, college, university)",Male,Tier 2
2020,140000.0,United States,Microsoft SQL Server,17,Full time employee,Engineer,False,14,1,Not Asked,Private business,Male,Tier 3
2020,52000.0,United States,Microsoft SQL Server,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,2,3,Not Asked,Non-profit,Male,Tier 2
2020,140000.0,United States,Microsoft SQL Server,17,Full time employee,Engineer,False,14,1,Not Asked,Private business,Male,Tier 3
2020,87600.0,United States,Microsoft SQL Server,20,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",False,6,4,Not Asked,Private business,Male,Tier 2
