name,handedness,height,weight,avg,HR
Cookie Rojas,Right Handed,70,160,0.263,54
Craig Chamberlain,Right Handed,73,190,0,0
Craig Eaton,Right Handed,71,175,0,0
Craig Kusick,Right Handed,75,210,0.235,46
Craig Mitchell,Right Handed,75,180,0,0
Craig Reynolds,Left Handed,73,175,0.256,42
Craig Robinson,Right Handed,70,165,0.219,0
Curt Blefary,Left Handed,74,195,0.237,112
Curt Ford,Left Handed,70,150,0.245,7
Curt Kaufman,Right Handed,74,175,0,0
Curt Motton,Right Handed,68,164,0.213,25
Curt Wardle,Left Handed,77,220,0,0
Dal Maxvill,Right Handed,71,157,0.217,6
Dale Berra,Right Handed,72,180,0.236,49
Dalton Jones,Left Handed,73,180,0.235,41
Damaso Garcia,Right Handed,73,165,0.283,36
Dan Briggs,Left Handed,72,180,0.195,12
Dan Driessen,Left Handed,71,187,0.267,153
Dan Ford,Right Handed,73,185,0.27,121
Dan Meyer,Left Handed,71,180,0.253,86
Dan Morogiello,Left Handed,73,200,0,0
Dane Iorg,Left Handed,72,180,0.276,14
Danny Ainge,Right Handed,76,175,0.22,2
Danny Cater,Right Handed,72,170,0.276,66
Danny Fife,Right Handed,75,175,0,0
Danny Goodwin,Left Handed,73,195,0.236,13
Danny Thompson,Right Handed,72,183,0.248,15
Danny Walton,Right Handed,72,195,0.223,28
Darrel Chaney,Both Handed,74,188,0.217,14
Darrell Brown,Both Handed,72,184,0.274,1
Darrell Evans,Left Handed,74,200,0.248,414
Darrell Porter,Left Handed,72,193,0.247,188
Darryl Motley,Right Handed,69,196,0.243,44
Daryl Sconiers,Left Handed,74,185,0.265,15
Daryl Smith,Right Handed,76,185,0,0
Dave Campbell,Right Handed,73,180,0.213,20
Dave Cash,Right Handed,71,170,0.283,21
Dave Chalk,Right Handed,70,175,0.252,15
Dave Collins,Both Handed,71,175,0.272,32
Dave Concepcion,Right Handed,74,155,0.267,101
Dave Duncan,Right Handed,74,190,0.214,109
Dave Edwards,Right Handed,72,170,0.237,14
Dave Engle,Right Handed,75,210,0.262,31
Dave Ford,Right Handed,76,190,0,0
Dave Frost,Right Handed,78,235,0,0
Dave Hilton,Right Handed,71,191,0.213,6
Dave Hostetler,Right Handed,76,215,0.229,37
Dave Johnson,Right Handed,73,183,0,0
Dave Kingman,Right Handed,78,210,0.236,442
Dave Lemanczyk,Right Handed,76,235,0,0
Dave Marshall,Left Handed,73,182,0.246,16
Dave May,Left Handed,70,186,0.251,96
Dave McKay,Both Handed,73,195,0.229,21
Dave McNally,Right Handed,71,185,0.133,9
Dave Nelson,Right Handed,70,160,0.244,20
Dave Nicholson,Right Handed,74,215,0.212,61
Dave Rader,Left Handed,71,165,0.257,30
Dave Rajsich,Left Handed,77,175,0,0
Dave Revering,Left Handed,76,210,0.265,62
Dave Roberts_1,Right Handed,75,215,0.239,49
Dave Roberts_2,Left Handed,75,195,0.194,7
Dave Rosello,Right Handed,71,160,0.236,10
Dave Skaggs,Right Handed,74,200,0.241,3
Dave Smith,Right Handed,73,190,0,0
Dave Stapleton_1,Left Handed,73,185,0,0
Dave Stapleton_2,Right Handed,73,178,0.271,41
Davey Johnson,Right Handed,73,170,0.261,136
Davey Lopes,Right Handed,69,170,0.263,155
David Green,Right Handed,75,170,0.268,31
De Wayne Buice,Right Handed,72,170,0,0
De Wayne Vaughn,Right Handed,71,180,0,0
Dean Chance,Right Handed,75,200,0.066,0
Del Unser,Left Handed,73,180,0.258,87
Denis Menke,Right Handed,72,185,0.25,101
Dennis Burtt,Right Handed,72,180,0,0
Dennis DeBarr,Left Handed,74,190,0,0
Denny Doyle,Left Handed,69,175,0.25,16
Denny Lemaster,Right Handed,73,182,0.13,4
Denny McLain,Right Handed,73,185,0.133,1
Deron Johnson,Right Handed,74,200,0.244,245
Derrel Thomas,Both Handed,72,160,0.249,43
Dewey Robinson,Right Handed,72,180,0,0
Dick Allen,Right Handed,71,187,0.292,351
Dick Bertell,Right Handed,72,200,0.25,10
Dick Billings,Right Handed,73,195,0.227,16
Dick Davis,Right Handed,75,190,0.265,27
Dick Dietz,Right Handed,73,195,0.261,66
Dick Green,Right Handed,70,180,0.24,80
Dick Howser,Right Handed,68,155,0.248,16
Dick McAuliffe,Left Handed,71,176,0.247,197
Dick Nen,Left Handed,74,200,0.224,21
Dick Phillips,Left Handed,72,180,0.229,12
Dick Ruthven,Right Handed,75,190,0.183,1
Dick Simpson,Right Handed,76,176,0.207,15
Dick Tracewski,Right Handed,71,160,0.213,8
Doc Edwards,Right Handed,74,215,0.238,15
Domingo Ramos,Right Handed,70,154,0.24,8
Don Baylor,Right Handed,73,190,0.26,338
Don Buford,Both Handed,67,160,0.264,93
Don Cooper,Right Handed,73,185,0,0
Don Gordon,Right Handed,73,175,0,0
Don Hahn,Right Handed,73,180,0.236,7
Don Kainer,Right Handed,75,205,0,0
Don Kessinger,Both Handed,73,170,0.252,14
Don Leppert,Right Handed,74,220,0.229,15
Don Lock,Right Handed,74,195,0.238,122
Don Mason,Left Handed,71,160,0.205,3
Don Mincher,Left Handed,75,205,0.249,200
Don Money,Right Handed,73,170,0.261,176
Don Sutton,Right Handed,73,185,0.144,0
Don Welchel,Right Handed,76,205,0,0
Don Wert,Right Handed,70,162,0.242,77
Don Wilson,Right Handed,74,195,0.146,1
Donn Clendenon,Right Handed,76,209,0.274,159
Doug Ault,Right Handed,75,200,0.236,17
Doug Camilli,Right Handed,71,195,0.199,18
Doug Clemens,Left Handed,72,180,0.229,12
Doug DeCinces,Right Handed,74,190,0.259,237
Doug Flynn,Right Handed,71,165,0.238,7
Doug Frobel,Left Handed,76,196,0.201,20
Doug Griffin,Right Handed,72,160,0.245,7
Doug Rader,Right Handed,74,208,0.251,155
Duane Josephson,Right Handed,72,190,0.258,23
Duane Kuiper,Left Handed,72,175,0.271,1
Duane Walker,Left Handed,72,185,0.229,24
Duffy Dyer,Right Handed,72,187,0.221,30
Duke Sims,Left Handed,74,197,0.239,100
Dusty Baker,Right Handed,74,183,0.278,242
Dwayne Murphy,Left Handed,73,185,0.246,166
Earl Williams,Right Handed,75,215,0.247,138
Ed Brinkman,Right Handed,72,170,0.224,60
Ed Charles,Right Handed,70,170,0.263,86
Ed Crosby,Left Handed,74,175,0.22,0
Ed Goodson,Left Handed,75,180,0.26,30
Ed Herrmann,Left Handed,73,195,0.24,80
Ed Hodge,Left Handed,74,192,0,0
Ed Kirkpatrick,Left Handed,71,195,0.238,85
Ed Kranepool,Left Handed,75,205,0.261,118
Ed Ott,Left Handed,70,190,0.259,33
Ed Romero,Right Handed,71,160,0.247,8
Ed Spiezio,Right Handed,71,180,0.238,39
Ed Stroud,Left Handed,71,180,0.237,14
Eddie Leon,Right Handed,72,170,0.236,24
Eddie Milner,Left Handed,71,173,0.253,42
Elio Chacon,Right Handed,69,160,0.232,4
Ellie Hendricks,Left Handed,73,175,0.22,62
Ellie Rodriguez,Right Handed,71,185,0.245,16
Elliott Maddox,Right Handed,71,180,0.261,18
Ellis Valentine,Right Handed,76,205,0.278,123
Enos Cabell,Right Handed,76,170,0.277,60
Enzo Hernandez,Right Handed,68,155,0.224,2
Eric Hetzel,Right Handed,75,175,0,0
Eric Soderholm,Right Handed,71,187,0.264,102
Eric Wilkins,Right Handed,73,190,0,0
Felix Millan,Right Handed,71,172,0.279,22
Felix Torres,Right Handed,71,165,0.254,27
Fergie Jenkins,Right Handed,77,205,0.165,13
Fernando Arroyo,Right Handed,74,180,0,0
Fernando Gonzalez,Right Handed,70,165,0.235,17
Floyd Rayford,Right Handed,70,190,0.244,38
Floyd Robinson,Left Handed,69,175,0.283,67
Fran Healy,Right Handed,77,220,0.25,20
Francisco Barrios,Right Handed,71,155,0,0
Frank Dimichele,Right Handed,75,205,0,0
Frank Duffy,Right Handed,73,180,0.232,26
Frank Eufemia,Right Handed,71,185,0,0
Frank Fernandez,Right Handed,72,185,0.199,39
Frank Quilici,Right Handed,73,170,0.214,5
Frank Taveras,Right Handed,72,155,0.255,2
Frank Tepedino,Left Handed,71,185,0.241,6
Frank White,Right Handed,71,165,0.255,160
Fred Howard,Right Handed,75,190,0,0
Fred Kendall,Right Handed,73,185,0.234,31
Fred Lynn,Left Handed,73,185,0.283,306
Fred Norman,Both Handed,68,155,0.125,0
Fred Stanley,Right Handed,70,165,0.216,10
Fred Whitfield,Left Handed,73,190,0.253,108
Freddie Patek,Right Handed,65,148,0.242,41
Fritz Peterson,Both Handed,72,185,0.159,2
Gail Hopkins,Left Handed,70,198,0.266,25
Garry Hancock,Left Handed,72,175,0.247,12
Garry Maddox,Right Handed,75,175,0.285,117
Garth Iorg,Right Handed,71,170,0.258,20
Gary Alexander,Right Handed,74,195,0.23,55
Gary Allenson,Right Handed,71,185,0.221,19
Gary Beare,Right Handed,76,205,0,0
Gary Christenson,Left Handed,77,200,0,0
Gary Gray,Right Handed,72,187,0.24,24
Gary Ignasiak,Right Handed,71,185,0,0
Gary Lance,Both Handed,75,195,0,0
Gary Matthews,Right Handed,74,185,0.281,234
Gary Mielke,Right Handed,75,185,0,0
Gary Nolan,Right Handed,74,197,0.138,1
Gary Roenicke,Right Handed,75,205,0.247,121
Gary Sutherland,Right Handed,72,185,0.243,24
Gary Thomasson,Left Handed,73,180,0.249,61
Gary Ward,Right Handed,74,195,0.276,130
Gary Wheelock,Right Handed,75,205,0,0
Gary Woods,Right Handed,74,185,0.243,13
Gates Brown,Left Handed,71,220,0.257,84
Gaylord Perry,Right Handed,76,205,0.131,6
Gene Alley,Right Handed,70,160,0.254,55
Gene Clines,Right Handed,69,170,0.277,5
Gene Locklear,Left Handed,70,165,0.274,9
Gene Michael,Both Handed,74,183,0.229,15
Gene Richards,Left Handed,72,175,0.29,26
Gene Tenace,Right Handed,72,190,0.241,201
George Foster,Right Handed,73,180,0.274,348
George Hendrick,Right Handed,75,195,0.278,267
George Mitterwald,Right Handed,74,195,0.236,76
George Scott,Right Handed,74,200,0.268,271
George Smith,Right Handed,70,170,0.205,9
George Vukovich,Left Handed,72,198,0.268,27
George Wright,Both Handed,71,180,0.245,42
Gil Garrido,Right Handed,69,150,0.237,1
Gil Patterson,Right Handed,73,185,0,0
Glen Cook,Right Handed,71,180,0,0
Glenn Adams,Left Handed,73,180,0.28,34
Glenn Beckert,Right Handed,73,190,0.283,22
Glenn Borgmann,Right Handed,76,210,0.229,16
Glenn Burke,Right Handed,72,195,0.237,2
Glenn Hoffman,Right Handed,73,175,0.242,23
Glenn Hubbard,Right Handed,69,150,0.244,70
Gorman Heimueller,Left Handed,76,195,0,0
Gorman Thomas,Right Handed,74,210,0.225,268
Graig Nettles,Left Handed,72,180,0.248,390
Greg Erardi,Right Handed,73,190,0,0
Greg Gross,Left Handed,70,160,0.287,7
Greg Luzinski,Right Handed,73,220,0.276,307
Greg Pryor,Right Handed,72,180,0.25,14
Greg Thayer,Right Handed,71,182,0,0
Greg Walker,Left Handed,75,205,0.26,113
Hal Breeden,Right Handed,74,200,0.243,21
Hal King,Left Handed,73,200,0.214,24
Hal Lanier,Right Handed,74,180,0.228,8
Hal McRae,Right Handed,71,180,0.29,191
Hank Allen,Right Handed,72,190,0.241,6
Harry Spilman,Left Handed,73,180,0.237,18
Hector Cruz,Right Handed,71,170,0.225,39
Hector Torres,Right Handed,72,175,0.216,18
Horace Clarke,Both Handed,69,170,0.256,27
Hosken Powell,Left Handed,73,175,0.259,17
Howard Bailey,Right Handed,72,195,0,0
Howie Goss,Right Handed,76,204,0.216,11
Ike Brookens,Right Handed,77,170,0,0
Ike Brown,Right Handed,72,190,0.256,20
Israel Sanchez,Left Handed,69,170,0,0
Ivan DeJesus,Right Handed,71,175,0.254,21
Ivan Murrell,Right Handed,74,195,0.236,33
J.R. Richard,Right Handed,80,222,0.168,10
Jack Billingham,Right Handed,76,195,0.111,0
Jack Brohamer,Left Handed,70,165,0.245,30
Jack Hardy,Right Handed,74,175,0,0
Jack Heidemann,Right Handed,72,175,0.211,9
Jack Hiatt,Right Handed,74,190,0.251,22
Jack Lazorko,Right Handed,71,200,0,0
Jack Perconte,Left Handed,70,160,0.27,2
Jackie Gutierrez,Right Handed,71,175,0.237,4
Jackie Hernandez,Right Handed,71,165,0.208,12
Jaime Cocanower,Right Handed,76,200,0,0
Jake Gibbs,Left Handed,72,180,0.233,25
Jake Wood,Right Handed,73,163,0.25,35
Jason Thompson,Left Handed,76,200,0.261,208
Jay Johnstone,Left Handed,73,175,0.267,102
Jay Pettibone,Right Handed,76,182,0,0
Jeff Barkley,Both Handed,75,185,0,0
Jeff Bettendorf,Right Handed,75,180,0,0
Jeff Burroughs,Right Handed,73,200,0.261,240
Jeff Byrd,Right Handed,75,195,0,0
Jeff Holly,Left Handed,77,210,0,0
Jeff Jones,Right Handed,75,210,0,0
Jeff Newman,Right Handed,74,215,0.224,63
Jeff Peterek,Right Handed,74,195,0,0
Jeff Richardson,Right Handed,75,185,0,0
Jeff Rineer,Left Handed,76,205,0,0
Jeff Schattinger,Left Handed,77,200,0,0
Jeff Schneider,Both Handed,75,195,0,0
Jeff Sellers,Right Handed,73,175,0,0
Jeff Shaver,Right Handed,75,195,0,0
Jeff Stone,Left Handed,72,175,0.277,11
Jeff Torborg,Right Handed,72,195,0.214,8
Jeff Twitty,Left Handed,74,185,0,0
Jeffrey Leonard,Right Handed,74,200,0.266,144
Jerry Augustine,Left Handed,72,183,0,0
Jerry Buchek,Right Handed,71,185,0.22,22
Jerry Dybzinski,Right Handed,74,180,0.234,3
Jerry Garvin,Left Handed,75,195,0,0
Jerry Grote,Right Handed,70,185,0.252,39
Jerry Hairston,Both Handed,70,170,0.258,30
Jerry Kenney,Left Handed,73,170,0.237,7
Jerry Koosman,Right Handed,74,205,0.119,2
Jerry Kutzler,Left Handed,73,175,0,0
Jerry Martin,Right Handed,73,195,0.251,85
Jerry May,Right Handed,74,190,0.234,15
Jerry McNertney,Right Handed,72,180,0.237,27
Jerry Morales,Right Handed,70,155,0.259,95
Jerry Moses,Right Handed,75,210,0.251,25
Jerry Mumphrey,Both Handed,74,185,0.289,70
Jerry Narron,Left Handed,75,205,0.211,21
Jerry Remy,Left Handed,69,165,0.275,7
Jerry Reuss,Left Handed,77,200,0.167,1
Jerry Royster,Right Handed,72,165,0.249,40
Jerry Terrell,Right Handed,71,165,0.253,4
Jerry Turner,Left Handed,69,180,0.257,45
Jerry Ujdur,Right Handed,73,195,0,0
Jerry White,Both Handed,70,164,0.253,21
Jerry Zimmerman,Right Handed,74,185,0.204,3
Jesse Gonder,Left Handed,70,180,0.251,26
Jesus Alou,Right Handed,74,190,0.28,32
Jim Anderson,Right Handed,72,170,0.218,13
Jim Barr,Right Handed,75,205,0.162,1
Jim Beauchamp,Right Handed,74,190,0.231,14
Jim Burton,Right Handed,75,195,0,0
Jim Campbell,Left Handed,71,175,0,0
Jim Dorsey,Right Handed,79,190,0,0
Jim Dwyer,Left Handed,70,165,0.26,77
Jim Essian,Right Handed,74,195,0.244,33
Jim Fairey,Left Handed,70,190,0.235,7
Jim Farr,Right Handed,73,195,0,0
Jim Fregosi,Right Handed,73,190,0.265,151
Jim French,Left Handed,68,180,0.196,5
Jim Gideon,Right Handed,75,190,0,0
Jim Gosger,Left Handed,71,185,0.226,30
Jim Hickman,Right Handed,75,192,0.252,159
Jim Holt,Left Handed,72,180,0.265,19
Jim Lefebvre,Both Handed,72,180,0.251,74
Jim Lewis,Right Handed,75,190,0,0
Jim Lonborg,Right Handed,77,200,0.136,3
Jim Lyttle,Left Handed,72,180,0.248,9
Jim Maloney,Left Handed,74,190,0.201,7
Jim Mason,Left Handed,74,185,0.203,12
Jim Morrison,Right Handed,71,175,0.26,112
Jim Nettles,Left Handed,72,186,0.22,16
Jim Norris,Left Handed,70,175,0.264,7
Jim Northrup,Left Handed,75,190,0.267,153
Jim Pankovits,Right Handed,70,170,0.25,9
Jim Price,Right Handed,72,192,0.214,18
Jim Ray Hart,Right Handed,71,185,0.278,170
Jim Rice,Right Handed,74,200,0.298,382
Jim Rooker,Right Handed,72,195,0.201,7
Jim Siwy,Right Handed,76,200,0,0
Jim Spencer,Left Handed,74,195,0.25,146
Jim Sundberg,Right Handed,72,190,0.248,95
Jim Traber,Left Handed,72,194,0.227,27
Jim Umbarger,Left Handed,78,200,0,0
Jim Wohlford,Right Handed,71,175,0.26,21
Jim Wright_1,Right Handed,77,205,0,0
Jim Wright_2,Right Handed,73,165,0,0
Jimmie Hall,Left Handed,72,175,0.254,121
Jimmie Schaffer,Right Handed,69,170,0.223,11
Jimmy Stewart,Both Handed,72,165,0.237,8
Jimmy Wynn,Right Handed,70,160,0.25,291
Joaquin Andujar,Both Handed,72,170,0.127,5
Jody Davis,Right Handed,76,192,0.245,127
Joe Azcue,Right Handed,72,190,0.252,50
Joe Charboneau,Right Handed,74,205,0.266,29
Joe Ferguson,Right Handed,74,200,0.24,122
Joe Foy,Right Handed,72,215,0.248,58
Joe Gaines,Right Handed,73,190,0.241,21
Joe Hague,Left Handed,72,195,0.239,40
